Staphylococcus_aureus | número de entradas: 1342 | date: 2023-05-03 10:46:43.911194
GCF_029635105.1 SAMN27064688
GCA_008936415.1 SAMN09483948
GCA_008936395.1 SAMN09483966
GCA_008936375.1 SAMN09484029
GCA_008936355.1 SAMN09484052
GCA_008936335.1 SAMN09483926
GCA_008936315.1 SAMN09483980
GCA_008936295.1 SAMN09484025
GCA_008936275.1 SAMN09483978
GCA_008936255.1 SAMN09484012
GCA_008936235.1 SAMN09483963
GCA_008936215.1 SAMN09484006
GCA_008936195.1 SAMN09484002
GCA_008936175.1 SAMN09483972
GCA_008936155.1 SAMN09483945
GCA_008936135.1 SAMN09483949
GCA_008936115.1 SAMN09483973
GCA_008936095.1 SAMN09483952
GCA_008936075.1 SAMN09483951
GCA_008936055.1 SAMN09483919
GCA_008936035.1 SAMN09483934
GCA_008936015.1 SAMN09484069
GCA_008935995.1 SAMN09484016
GCA_008935975.1 SAMN09483954
GCA_008935955.1 SAMN09484032
GCA_008935935.1 SAMN09483995
GCA_008935915.1 SAMN09484037
GCA_008935895.1 SAMN09483993
GCA_008935875.1 SAMN09484066
GCA_008935855.1 SAMN09484077
GCA_008935835.1 SAMN09484070
GCA_008935815.1 SAMN09484049
GCA_008935795.1 SAMN09483970
GCA_008935775.1 SAMN09484041
GCA_008935755.1 SAMN09483959
GCA_008935735.1 SAMN09483947
GCA_008935715.1 SAMN09483986
GCA_008935695.1 SAMN09484008
GCA_008935675.1 SAMN09484018
GCA_008935655.1 SAMN09484009
GCA_008935635.1 SAMN09483998
GCA_008935615.1 SAMN09484023
GCA_008935595.1 SAMN09483937
GCA_008935575.1 SAMN09484076
GCA_008935555.1 SAMN09484058
GCA_008935535.1 SAMN09483930
GCA_008935515.1 SAMN09483928
GCA_008935495.1 SAMN09484030
GCA_008935475.1 SAMN09484014
GCA_008935455.1 SAMN09483988
GCA_008935435.1 SAMN09484054
GCA_008935415.1 SAMN09484065
GCA_008935395.1 SAMN09484022
GCA_008935375.1 SAMN09483960
GCA_008935355.1 SAMN09484040
GCA_008935335.1 SAMN09484050
GCA_008935315.1 SAMN09483987
GCA_008935295.1 SAMN09484048
GCA_008935275.1 SAMN09483999
GCA_008935255.1 SAMN09484017
GCA_008935235.1 SAMN09483968
GCA_008935215.1 SAMN09483971
GCA_008935195.1 SAMN09484081
GCA_008935175.1 SAMN09483929
GCA_008935155.1 SAMN09483967
GCA_008935135.1 SAMN09484056
GCA_008935115.1 SAMN09483997
GCA_008935095.1 SAMN09484051
GCA_008935035.1 SAMN09483964
GCA_008935015.1 SAMN09483958
GCA_008934995.1 SAMN09484000
GCA_008934975.1 SAMN09484079
GCA_008934955.1 SAMN09483994
GCA_008934935.1 SAMN09483938
GCA_008934915.1 SAMN09483946
GCA_008934895.1 SAMN09483935
GCA_008934875.1 SAMN09484021
GCA_008934855.1 SAMN09483977
GCA_008934835.1 SAMN09484073
GCA_008934815.1 SAMN09484053
GCA_008934795.1 SAMN09484028
GCA_008934775.1 SAMN09484003
GCA_008934755.1 SAMN09483984
GCA_008934735.1 SAMN09484034
GCA_008934715.1 SAMN09484038
GCA_008934695.1 SAMN09484074
GCA_008934675.1 SAMN09484046
GCA_008934655.1 SAMN09483957
GCA_008934635.1 SAMN09484020
GCA_008934615.1 SAMN09484060
GCA_008934595.1 SAMN09483922
GCA_008934575.1 SAMN09483996
GCA_008934555.1 SAMN09483936
GCA_008934535.1 SAMN09484043
GCA_008934515.1 SAMN09484042
GCA_008934495.1 SAMN09483925
GCA_008934475.1 SAMN09484036
GCA_008934455.1 SAMN09483942
GCA_008934435.1 SAMN09483990
GCA_008934415.1 SAMN09484045
GCA_008934395.1 SAMN09483927
GCA_008934375.1 SAMN09484057
GCA_008934355.1 SAMN09484035
GCA_008934335.1 SAMN09483940
GCA_008934315.1 SAMN09484044
GCA_008934295.1 SAMN09483974
GCA_008934275.1 SAMN09484019
GCA_008934255.1 SAMN09484071
GCA_008934235.1 SAMN09484055
GCA_008934215.1 SAMN09483965
GCA_008934195.1 SAMN09484068
GCA_008934175.1 SAMN09484005
GCA_008934155.1 SAMN09483985
GCA_008934135.1 SAMN09484078
GCA_008934115.1 SAMN09483950
GCA_008934095.1 SAMN09484063
GCA_008934075.1 SAMN09484026
GCA_008934055.1 SAMN09483962
GCA_008934035.1 SAMN09483921
GCA_008934005.1 SAMN09483991
GCF_008693765.1 SAMN11056375
GCF_000237125.2 SAMN02603643
GCF_008620175.1 SAMD00180477
GCF_008620055.1 SAMD00180476
GCF_008619935.1 SAMD00180475
GCF_008619795.1 SAMD00180474
GCF_008619415.1 SAMD00180472
GCF_008619235.1 SAMD00180471
GCF_008619075.1 SAMD00180470
GCF_008462245.1 SAMN11611367
GCF_008370815.1 SAMN12325110
GCF_008330585.1 SAMN09882580
GCF_008330045.1 SAMN11431687
GCF_008329885.1 SAMN09882579
GCF_008329865.1 SAMN09882578
GCF_008244745.1 SAMN11157690
GCF_008244725.1 SAMN11157607
GCF_008244705.1 SAMN11157689
GCF_007998145.1 SAMN12500844
GCF_007954465.1 SAMN12476193
GCF_007954445.1 SAMN12476135
GCF_007826355.1 SAMN12046023
GCF_007813675.1 SAMN09714411
GCF_007726565.1 SAMN12359200
GCF_007726545.1 SAMN12359203
GCF_007726525.1 SAMN12359201
GCF_007726325.1 SAMN12353688
GCF_007726495.1 SAMN12353686
GCF_007726465.1 SAMN12353685
GCF_007410625.1 SAMN11823232
GCF_007185035.1 SAMD00172962
GCF_006364775.1 SAMN11056481
GCF_006364675.1 SAMN11056488
GCF_006158985.1 SAMN11928015
GCF_006094915.1 SAMN10739543
GCF_006088835.1 SAMN08969227
GCF_005954685.1 SAMN11823228
GCF_005890035.1 SAMN11823231
GCF_005890015.1 SAMN11823230
GCF_005889995.1 SAMN11823229
GCF_005885975.1 SAMN11476509
GCF_005707335.1 SAMN11080949
GCF_005707215.1 SAMN11096191
GCF_005707015.1 SAMN11096695
GCF_005705815.1 SAMN11096032
GCF_004797195.1 SAMN10039799
GCF_004785995.1 SAMN11360115
GCF_004772215.1 SAMN11174937
GCF_004772175.1 SAMN11166132
GCF_004772055.1 SAMN11229814
GCF_004771975.1 SAMN11260917
GCF_004771515.1 SAMN10061378
GCF_004771335.1 SAMN10977065
GCF_004614315.1 SAMN06830443
GCF_004614295.1 SAMN06830421
GCF_004421085.1 SAMN11179240
GCF_004368035.1 SAMN08470189
GCF_900607305.1 SAMEA5047400
GCF_900607295.1 SAMEA104317472
GCF_900607285.1 SAMEA104317636
GCF_900607275.1 SAMEA5047401
GCF_900607255.1 SAMEA5047399
GCF_900607245.1 SAMEA5047402
GCF_900607265.1 SAMEA5047398
GCF_004208595.1 SAMN10779665
GCF_004193895.1 SAMN06830441
GCF_004193875.1 SAMN06830422
GCF_004153365.1 SAMN10868425
GCF_004153345.1 SAMN10868410
GCF_900620255.1 SAMEA5099554
GCF_900620245.1 SAMEA5099553
GCF_900620235.1 SAMEA5099552
GCF_900620225.1 SAMEA5099551
GCF_900620215.1 SAMEA5099550
GCF_004136655.1 SAMN07411885
GCF_004136255.1 SAMN08369990
GCF_004136235.1 SAMN08369795
GCF_004118995.1 SAMN10779666
GCF_004026185.1 SAMN10659755
GCF_004026165.1 SAMN10659762
GCF_003991015.1 SAMN09220587
GCF_900637155.1 SAMEA4076710
GCF_900636695.1 SAMEA3724096
GCA_900636395.1 SAMEA3499063
GCF_900636335.1 SAMEA3499041
GCF_900635905.1 SAMEA3251419
GCF_900635505.1 SAMEA3518006
GCF_900635335.1 SAMEA3529261
GCF_900635315.1 SAMEA3518011
GCF_900635305.1 SAMEA3504579
GCA_900635275.1 SAMEA3499061
GCF_900635285.1 SAMEA3491715
GCF_900635265.1 SAMEA3491698
GCF_900635255.1 SAMEA3491693
GCF_900635245.1 SAMEA3491692
GCF_900635095.1 SAMEA2771254
GCF_003957315.1 SAMN10578731
GCF_003955945.1 SAMN10040537
GCF_003952625.1 SAMN10578733
GCF_003945425.1 SAMD00148193
GCF_003945405.1 SAMD00148192
GCF_003944865.1 SAMN08663763
GCF_003855575.1 SAMN10458635
GCF_003827915.1 SAMN10163180
GCA_003827835.1 SAMN09635551
GCF_003827735.1 SAMN09635552
GCF_003627835.1 SAMN10059065
GCF_003609915.1 SAMD00089953
GCF_003609895.1 SAMD00043229
GCF_003609855.1 SAMD00064326
GCF_003595505.1 SAMN04497602
GCF_003595485.1 SAMN04497601
GCF_003595465.1 SAMN04497600
GCF_003595445.1 SAMN04497599
GCF_003595425.1 SAMN04497598
GCF_003595405.1 SAMN04497597
GCF_003595385.1 SAMN04497596
GCF_003595365.1 SAMN04497595
GCF_003573855.1 SAMD00134450
GCF_003573835.1 SAMD00134209
GCF_003490125.1 SAMN09724428
GCF_003432365.1 SAMN09906394
GCF_003432345.1 SAMN09906500
GCF_003431365.1 SAMN09847825
GCF_003426145.1 SAMN08997835
GCF_003425915.1 SAMN08997834
GCF_003425885.1 SAMN08997831
GCF_003425835.1 SAMN08997832
GCF_003425545.1 SAMN08997833
GCF_003394105.1 SAMN03799496
GCF_900324045.1 SAMEA104667427
GCF_900324065.1 SAMEA104667426
GCF_900323905.1 SAMEA104667425
GCF_900323955.1 SAMEA104667424
GCF_900323965.1 SAMEA104667423
GCF_900323925.1 SAMEA104667422
GCF_003354985.1 SAMN07340911
GCF_003354965.1 SAMN07340907
GCF_003354945.1 SAMN07340908
GCF_003354925.1 SAMN07340894
GCF_003354905.1 SAMN07340892
GCF_003354885.1 SAMN07340896
GCF_003354865.1 SAMN07340893
GCF_003354805.1 SAMN07340895
GCF_003354785.1 SAMN07340899
GCF_003354765.1 SAMN07340898
GCF_003354725.1 SAMN07340903
GCF_003354745.1 SAMN07340905
GCF_003354705.1 SAMN07340897
GCF_003354685.1 SAMN07340900
GCF_003354665.1 SAMN07340906
GCF_003354645.1 SAMN07340901
GCF_003354625.1 SAMN07340904
GCF_003354605.1 SAMN07340902
GCF_003354585.1 SAMN07340910
GCF_003354565.1 SAMN07340909
GCF_003354545.1 SAMN07340891
GCF_003351925.1 SAMN07407571
GCF_003347055.1 SAMN07372047
GCF_900324415.1 SAMEA104710506
GCF_900324405.1 SAMEA104710505
GCF_900324385.1 SAMEA104710504
GCF_900324365.1 SAMEA104710503
GCF_900324345.1 SAMEA104710501
GCF_900324295.1 SAMEA104710500
GCF_900324335.1 SAMEA104710499
GCF_900324325.1 SAMEA104710498
GCF_900324305.1 SAMEA104710497
GCF_900324315.1 SAMEA104710496
GCF_900324355.1 SAMEA104710494
GCF_900324265.1 SAMEA104710493
GCF_900324245.1 SAMEA104710492
GCF_900324225.1 SAMEA104710491
GCF_900324275.1 SAMEA104710490
GCF_900324235.1 SAMEA104710489
GCF_900324285.1 SAMEA104710488
GCF_900324215.1 SAMEA104710487
GCF_900324255.1 SAMEA104710486
GCF_900324205.1 SAMEA104710485
GCF_003342775.1 SAMN09668081
GCF_003342735.1 SAMN09668080
GCF_003330905.1 SAMN07291567
GCF_002089115.2 SAMN06274093
GCF_002089075.2 SAMN06274062
GCF_002089095.2 SAMN06274241
GCF_002089035.2 SAMN06251153
GCF_003288395.1 SAMN07291568
GCF_003264815.1 SAMN08717048
GCF_003264775.1 SAMN08717045
GCF_900475245.1 SAMEA3672889
GCF_900475055.1 SAMEA3614277
GCF_900474565.1 SAMEA3518008
GCF_900474755.1 SAMEA3518004
GCF_900474665.1 SAMEA3518003
GCF_900474715.1 SAMEA3504582
GCF_900474695.1 SAMEA3504580
GCF_900474675.1 SAMEA3504578
GCF_900474735.1 SAMEA3504573
GCF_900474535.1 SAMEA3500267
GCF_900474525.1 SAMEA3491711
GCF_900474725.1 SAMEA3491706
GCF_900474555.1 SAMEA3491703
GCF_900474575.1 SAMEA3491695
GCF_900478245.1 SAMEA3233551
GCF_003203675.1 SAMN04901610
GCF_003203655.1 SAMN04901612
GCF_003203635.1 SAMN04901618
GCF_003203615.1 SAMN07291561
GCF_003203595.1 SAMN04901616
GCF_003194405.1 SAMN06560523
GCF_003194025.1 SAMN04901605
GCF_003194005.1 SAMN07291562
GCF_003193965.1 SAMN04901615
GCF_003193885.1 SAMN07291560
GCF_003193785.1 SAMN07291566
GCF_003193765.1 SAMN07291564
GCF_003193745.1 SAMN07291563
GCF_003193725.1 SAMN04901606
GCF_003193705.1 SAMN04901609
GCF_003193685.1 SAMN04901613
GCF_003193665.1 SAMN07291565
GCF_002097595.2 SAMN04903357
GCF_003186125.1 SAMN09253995
GCF_003186105.1 SAMN09254008
GCF_003185005.1 SAMN08580907
GCF_003184985.1 SAMN08580535
GCF_001717645.1 SAMN04966150
GCF_003111745.1 SAMN08999457
GCF_003111725.1 SAMN08999370
GCF_003073775.1 SAMN07291555
GCF_003073755.1 SAMN07291557
GCF_003073715.1 SAMN07291554
GCF_003073655.1 SAMN07291558
GCF_003073635.1 SAMN07291559
GCF_003073435.1 SAMN08963307
GCF_003073415.1 SAMN08963276
GCF_003073395.1 SAMN08963293
GCF_003031485.1 SAMN06480776
GCF_003031425.1 SAMN03763991
GCF_003031285.1 SAMN07684573
GCF_003030225.1 SAMN08663447
GCF_003030085.1 SAMN08663436
GCF_003030065.1 SAMN08668672
GCF_003029645.1 SAMN08663439
GCF_003010875.1 SAMN06578843
GCA_003010475.1 SAMN08634544
GCF_001183705.3 SAMN03787328
GCF_001183725.2 SAMN03787340
GCF_001717685.1 SAMN04966145
GCF_000626615.2 SAMN02700075
GCF_002952015.1 SAMN06689951
GCF_001019255.2 SAMN03255441
GCF_001018645.2 SAMN03255442
GCF_001018655.2 SAMN03255445
GCF_001018725.2 SAMN03255449
GCF_001018805.1 SAMN03255454
GCF_001019495.2 SAMN03255479
GCF_001019125.2 SAMN03255482
GCF_001019205.2 SAMN03255487
GCF_001558795.2 SAMN03996304
GCF_001717975.2 SAMN04966147
GCF_001717665.1 SAMN04966148
GCF_001717705.1 SAMN04966149
GCF_001018735.2 SAMN03255451
GCF_001019275.2 SAMN03255446
GCF_001019575.2 SAMN03255486
GCF_001018835.2 SAMN03255458
GCF_001019305.2 SAMN03255448
GCF_001019485.2 SAMN03255474
GCF_001018845.2 SAMN03255460
GCF_001018775.2 SAMN03255453
GCF_001018685.2 SAMN03255444
GCF_001019535.2 SAMN03255481
GCF_001018975.2 SAMN03255469
GCF_001018915.2 SAMN03255466
GCF_001019435.2 SAMN03255464
GCF_001019415.2 SAMN03255463
GCF_001019395.2 SAMN03255459
GCF_002895385.1 SAMN06130958
GCF_001717725.1 SAMN04964640
GCF_001735655.2 SAMN04966146
GCF_002850415.1 SAMN06702662
GCF_002850395.1 SAMN06702660
GCF_000189455.2 SAMN02469934
GCF_002803885.1 SAMN08024196
GCF_002795285.1 SAMN05864218
GCF_002786535.1 SAMN07310553
GCF_002786465.1 SAMN07310520
GCA_000189435.3 SAMN02469935
GCF_002633865.1 SAMN03763989
GCF_002633845.1 SAMN03763978
GCF_002633825.1 SAMN03763946
GCF_002633805.1 SAMN03763945
GCF_002633785.1 SAMN03763942
GCF_002633765.1 SAMN03763930
GCF_002442975.1 SAMN06703161
GCF_002386245.1 SAMN07312456
GCF_002356675.1 SAMD00034144
GCF_002355355.1 SAMD00043228
GCF_002310435.1 SAMN07629846
GCF_002310395.1 SAMN07629847
GCF_002214665.1 SAMN05292960
GCF_002209325.1 SAMN05520967
GCF_002204575.1 SAMN04571756
GCF_002204555.1 SAMN04571767
GCF_002202095.1 SAMN07212544
GCF_002202075.1 SAMN07212543
GCF_002140115.1 SAMN04995068
GCF_002089055.1 SAMN06274061
GCF_002088995.1 SAMN05860146
GCF_002085525.1 SAMN06677988
GCF_001298325.2 SAMN04008874
GCF_002025145.1 SAMN06480665
GCF_002025125.1 SAMN06480668
GCF_002000865.1 SAMN04497618
GCF_002000845.1 SAMN04497617
GCF_002000825.1 SAMN04497616
GCF_002000805.1 SAMN04497615
GCF_002000785.1 SAMN04497614
GCF_002000765.1 SAMN04497613
GCF_002000745.1 SAMN04497612
GCF_002000725.1 SAMN04497611
GCF_002000705.1 SAMN04497610
GCF_002000685.1 SAMN04497609
GCF_002000665.1 SAMN04497608
GCF_002000645.1 SAMN04497607
GCF_002000625.1 SAMN04497606
GCF_002000605.1 SAMN04497605
GCF_002000585.1 SAMN04497604
GCF_002000565.1 SAMN04497603
GCF_001986135.1 SAMN06277866
GCF_001975045.1 SAMN06046106
GCF_001975005.1 SAMN06046111
GCF_001956815.1 SAMN06238073
GCF_001956755.1 SAMN06200256
GCF_900155335.1 SAMEA36497668
GCF_900129335.1 SAMEA17757418
GCF_001900185.1 SAMN06062108
GCF_001887075.1 SAMN04276964
GCF_001880265.1 SAMN04263915
GCF_001879545.1 SAMN04243988
GCF_900096745.1 SAMEA4443152
GCF_001725965.1 SAMN04046233
GCF_900092595.1 SAMEA4072170
GCF_001656075.1 SAMN04939717
GCF_001656045.1 SAMN04939716
GCF_001641045.1 SAMN04219581
GCF_001641025.1 SAMN04219577
GCF_001640925.1 SAMN03955396
GCF_001640905.1 SAMN04219574
GCF_001640885.1 SAMN03742530
GCF_001618305.1 SAMN04590098
GCF_001611425.1 SAMN04166389
GCF_001611405.1 SAMN04166246
GCF_001611385.1 SAMN04166545
GCF_001611365.1 SAMN04166544
GCF_001611345.1 SAMN04166543
GCF_001611325.1 SAMN04166494
GCF_000412775.1 SAMN02603909
GCF_001594205.1 SAMN02953006
GCF_000452385.2 SAMN02393830
GCF_900004855.1 SAMEA3432862
GCF_900017775.1 SAMEA3733527
GCF_001580515.1 SAMN04254471
GCF_001580495.1 SAMN03387935
GCF_001549675.1 SAMD00020284
GCF_001549655.1 SAMD00020283
GCF_001548415.1 SAMD00044982
GCF_001548295.1 SAMD00039082
GCF_001515765.1 SAMN03835494
GCF_001515745.1 SAMN03835492
GCF_001515705.1 SAMN03835488
GCF_001515685.1 SAMN03765155
GCF_001515665.1 SAMN03835466
GCF_000383005.1 SAMEA2272502
GCF_000382985.1 SAMEA2272299
GCF_000382965.1 SAMEA2272458
GCF_001465755.1 SAMN04325940
GCF_001465675.1 SAMN04325938
GCF_001465635.1 SAMN04325935
GCF_001457495.1 SAMEA2479566
GCF_001456215.1 SAMN03145755
GCF_001444345.1 SAMN04253017
GCF_001045995.2 SAMN02767311
GCF_001045795.2 SAMN02767090
GCF_001046095.2 SAMN02743812
GCF_001307235.1 SAMN03777299
GCF_001296985.1 SAMN03267304
GCF_001281145.1 SAMN03267711
GCF_001278745.1 SAMN03092273
GCF_000296595.1 SAMN02603722
GCF_000284535.1 SAMEA2272552
GCF_000237265.1 SAMEA2272771
GCF_000009585.1 SAMEA2272644
GCF_000025145.1 SAMN02603764
GCF_000027045.1 SAMEA2272282
GCF_000239235.1 SAMN02603886
GCF_000204665.1 SAMN02603905
GCF_000253135.1 SAMEA2271964
GCF_000159535.2 SAMN00002240
GCF_000145595.1 SAMN02603619
GCF_000210315.1 SAMN02604166
GCF_000245495.1 SAMN02603393
GCF_001027105.1 SAMN03651231
GCF_001027045.1 SAMN03699895
GCF_001021895.1 SAMN02767179
GCF_001021875.1 SAMN02746692
GCF_000969225.1 SAMN03444404
GCF_000967405.1 SAMEA3283125
GCF_000967385.1 SAMEA3283124
GCF_000967365.1 SAMEA3283122
GCF_000967345.1 SAMEA3283122
GCF_000967325.1 SAMEA3283121
GCF_000953255.1 SAMEA2743223
GCF_000828035.1 SAMN03268345
GCF_000815245.1 SAMN03251896
GCF_000815205.1 SAMN03251895
GCF_000815165.1 SAMN03251899
GCF_000815125.1 SAMN03251894
GCF_000815085.1 SAMN03251898
GCF_000815045.1 SAMN03251897
GCF_000772025.1 SAMN03140315
GCF_000769575.1 SAMN03144721
GCF_000756205.1 SAMN03009478
GCF_000746505.1 SAMN03290990
GCF_000737615.1 SAMN02261725
GCF_000709475.1 SAMN02693431
GCF_000695875.1 SAMN02777327
GCF_000695215.1 SAMN02767598
GCF_000597965.1 SAMN02690781
GCF_000568455.1 SAMN03081531
GCF_000024585.1 SAMN02604165
GCF_000485885.1 SAMN02370325
GCF_000470865.1 SAMN02603110
GCF_000470845.1 SAMN00996491
GCF_000463055.1 SAMN02603420
GCF_000462955.1 SAMN02604264
GCF_000160335.2 SAMN00103091
GCF_000418345.1 SAMN02603524
GCF_000017085.1 SAMN00253845
GCF_000016805.1 SAMN02598343
GCF_000013465.1 SAMN02604150
GCF_000013425.1 SAMN02604235
GCF_000012045.1 SAMN02603996
GCF_000011525.1 SAMEA1705922
GCF_000011505.1 SAMEA1705935
GCF_000011265.1 SAMD00061104
GCF_000010465.1 SAMD00060913
GCF_000010445.1 SAMD00060910
GCF_000009665.1 SAMD00061098
GCF_000009645.1 SAMD00061099
GCF_000009005.1 SAMEA3138186
